match_id,date,gender,tournament,round,player_1,player_2,match_score,winner,loser,p1_fsp,p1_ssp,p1_df,p2_fsp,p2_ssp,p2_df
19891202-M-Tour_Finals-SF-Stefan_Edberg-Ivan_Lendl,19891202,M,Tour Finals,SF,Stefan Edberg,Ivan Lendl,7-6 7-5,Stefan Edberg,Ivan Lendl,65.0,93.0,2,62.0,97.0,1
19900127-M-Australian_Open-SF-Mats_Wilander-Stefan_Edberg,19900127,M,Australian Open,SF,Mats Wilander,Stefan Edberg,1-6 1-6 2-6,Stefan Edberg,Mats Wilander,64.0,100.0,0,77.0,85.0,2
19900819-M-Indianapolis-F-Boris_Becker-Peter_Lundgren,19900819,M,Indianapolis,F,Boris Becker,Peter Lundgren,6-3 6-4,Boris Becker,Peter Lundgren,65.0,90.0,2,40.0,88.0,4
19900819-W-Manhattan_Beach-F-Monica_Seles-Martina_Navratilova,19900819,W,Manhattan Beach,F,Monica Seles,Martina Navratilova,6-4 3-6 7-6,Monica Seles,Martina Navratilova,68.0,91.0,3,61.0,100.0,0
19901006-M-Sydney_Indoor-SF-Stefan_Edberg-Ivan_Lendl,19901006,M,Sydney Indoor,SF,Stefan Edberg,Ivan Lendl,3-6 7-6 6-3,Stefan Edberg,Ivan Lendl,58.0,91.0,4,60.0,91.0,3
19901008-W-Zurich-F-Steffi_Graf-Gabriela_Sabatini,19901008,W,Zurich,F,Steffi Graf,Gabriela Sabatini,6-3 6-2,Steffi Graf,Gabriela Sabatini,69.0,94.0,1,81.0,100.0,0
19910118-M-Australian_Open-R32-Omar_Camporese-Boris_Becker,19910118,M,Australian Open,R32,Omar Camporese,Boris Becker,6-7 6-7 6-0 6-4 12-14,Boris Becker,Omar Camporese,52.0,94.0,6,71.0,98.0,1
19910422-M-Monte_Carlo_Masters-R64-Jordi_Arrese-Bjorn_Borg,19910422,M,Monte Carlo Masters,R64,Jordi Arrese,Bjorn Borg,6-2 6-3,Jordi Arrese,Bjorn Borg,58.0,78.0,5,58.0,80.0,4
19910519-M-Rome_Masters-F-Emilio_Sanchez-Alberto_Mancini,19910519,M,Rome Masters,F,Emilio Sanchez,Alberto Mancini,6-3 6-1 4-0,Emilio Sanchez,Alberto Mancini,67.0,100.0,0,66.0,71.0,6
19910607-M-Roland_Garros-SF-Andre_Agassi-Boris_Becker,19910607,M,Roland Garros,SF,Andre Agassi,Boris Becker,7-5 6-3 3-6 6-1,Andre Agassi,Boris Becker,72.0,97.0,1,57.0,92.0,4
19910624-M-Wimbledon-R128-Marc_Rosset-Stefan_Edberg,19910624,M,Wimbledon,R128,Marc Rosset,Stefan Edberg,4-6 4-6 4-6,Stefan Edberg,Marc Rosset,76.0,71.0,5,81.0,85.0,2
19910702-M-Wimbledon-R16-Michael_Stich-Alexander_Volkov,19910702,M,Wimbledon,R16,Michael Stich,Alexander Volkov,4-6 6-3 7-5 1-6 7-5,Michael Stich,Alexander Volkov,60.0,88.0,7,53.0,80.0,17
19910706-W-Wimbledon-F-Gabriela_Sabatini-Steffi_Graf,19910706,W,Wimbledon,F,Gabriela Sabatini,Steffi Graf,4-6 6-3 6-8,Steffi Graf,Gabriela Sabatini,86.0,93.0,1,67.0,81.0,6
