% 1st Serve,% 1st Serve Points Won,% 2st Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,Player,Serve Rating
61.4%,68.2%,50.5%,76.0%,4.1,4.2,Learner Tien,256.0
63.7%,66.0%,51.7%,73.3%,2.9,2.7,Mariano Navone,254.9
55.2%,67.9%,53.6%,76.6%,4.3,3.4,Flavio Cobolli,254.2
61.6%,68.4%,47.2%,72.6%,5.0,2.8,Alexander Shevchenko,252.0
66.6%,62.0%,52.9%,71.2%,1.3,2.9,Damir Dzumhur,251.1
60.7%,69.7%,46.9%,73.9%,5.6,5.9,Jacob Fearnley,250.9
71.3%,62.8%,47.4%,67.6%,1.8,1.9,Sebastian Baez,249.0
61.6%,66.7%,47.4%,72.4%,3.4,2.9,Camilo Ugo Carabelli,248.6
61.3%,67.0%,46.9%,71.1%,3.5,2.7,Roberto Carballes Baena,247.1
54.6%,69.5%,47.9%,69.6%,4.8,3.3,David Goffin,243.1
68.4%,62.6%,46.1%,67.1%,1.2,3.2,Pedro Martinez,242.2
57.0%,66.6%,47.8%,69.4%,2.8,2.4,Hugo Gaston,241.2
