match_key,date,time,tournament,round,first_player,second_player,odds_implied_prob_diff,odds_p1_implied_prob,odds_p1_moneyline,odds_p2_implied_prob,odds_p2_moneyline
12084543,2025-11-01,09:10:00,Athens,Athens - Semi-finals,Yannick Hanfmann,Lukas Klein,0.19249823071479122,0.6369426751592356,1.57,0.4444444444444444,2.25
12084544,2025-11-01,09:15:00,Athens,Athens - Semi-finals,Filip Misolic,Alex Molcan,0.08139534883720934,0.5813953488372093,1.72,0.5,2.0
12084546,2025-11-01,10:35:00,Athens,Athens - Semi-finals,Marco Trungelliti,Mackenzie McDonald,-0.569672131147541,0.25,4.0,0.819672131147541,1.22
12084550,2025-11-01,11:05:00,Metz,Metz - Semi-finals,Jan Choinski,Harold Mayot,-0.31276505513146735,0.38167938931297707,2.62,0.6944444444444444,1.44
12084551,2025-11-01,11:15:00,Metz,Metz - Semi-finals,Kyrian Jacquet,Andrea Pellegrino,0.6023864511162433,0.8333333333333334,1.2,0.23094688221709006,4.33
12084545,2025-11-01,11:25:00,Athens,Athens - Semi-finals,Shintaro Mochizuki,Pavlos Tsitsipas,0.9424799622819424,0.9900990099009901,1.01,0.047619047619047616,21.0
12084552,2025-11-01,12:30:00,Metz,Metz - Semi-finals,Billy Harris,Luca van Assche,-0.19249823071479122,0.4444444444444444,2.25,0.6369426751592356,1.57
12084547,2025-11-01,12:40:00,Athens,Athens - Semi-finals,Henry Bernet,Agustin Tirante Thiago,-0.23165384297178793,0.42194092827004215,2.37,0.6535947712418301,1.53
12084553,2025-11-01,13:10:00,Metz,Metz - Semi-finals,Alexander Shevchenko,Vitaliy Sachko,0.31276505513146735,0.6944444444444444,1.44,0.38167938931297707,2.62
12084555,2025-11-01,14:35:00,Metz,Metz - Semi-finals,Clement Tabur,Nicolai Budkov Kjaer,-0.2666666666666666,0.4,2.5,0.6666666666666666,1.5
12084479,2025-11-01,14:40:00,Paris,Paris - Semi-finals,Felix Auger-Aliassime,Alexander Bublik,0.0,0.5263157894736842,1.9,0.5263157894736842,1.9
12084645,2025-11-01,14:40:00,Athens,Athens - Semi-finals,Jan-Lennard Struff,Mark Lajal,0.19249823071479122,0.6369426751592356,1.57,0.4444444444444444,2.25
12084554,2025-11-01,15:15:00,Metz,Metz - Semi-finals,Tom Paris,Moez Echargui,-0.19249823071479122,0.4444444444444444,2.25,0.6369426751592356,1.57
12084556,2025-11-01,16:25:00,Metz,Metz - Semi-finals,Arthur Bouquier,Francesco Passaro,-0.16657255787690567,0.45454545454545453,2.2,0.6211180124223602,1.61
12084549,2025-11-01,16:35:00,Athens,Athens - Semi-finals,Hsin Tseng Chun,Eliot Spizzirri,-0.6252354048964219,0.2222222222222222,4.5,0.8474576271186441,1.18
12084548,2025-11-01,17:00:00,Athens,Athens - Semi-finals,Vit Kopriva,Jaime Faria,0.0292397660818714,0.5555555555555556,1.8,0.5263157894736842,1.9
12084575,2025-11-01,17:10:00,Paris,Paris - Semi-finals,Alexander Zverev,Jannik Sinner,-0.7261904761904762,0.16666666666666666,6.0,0.8928571428571428,1.12
12084557,2025-11-01,17:55:00,Metz,Metz - Semi-finals,Tristan Schoolkate,Dan Added,0.16657255787690567,0.6211180124223602,1.61,0.45454545454545453,2.2
12084246,2025-10-31,14:15:00,Paris,Paris - Quarter-finals,Valentin Vacherot,Felix Auger-Aliassime,-0.2150017468891935,0.42194092827004215,2.37,0.6369426751592356,1.57
12084247,2025-10-31,15:50:00,Paris,Paris - Quarter-finals,Alexander Bublik,Alex De Minaur,-0.10520487264673317,0.47619047619047616,2.1,0.5813953488372093,1.72
12084365,2025-10-31,19:10:00,Paris,Paris - Quarter-finals,Ben Shelton,Jannik Sinner,-0.6620689655172414,0.2,5.0,0.8620689655172414,1.16
12084391,2025-10-31,20:40:00,Paris,Paris - Quarter-finals,Daniil Medvedev,Alexander Zverev,0.10520487264673317,0.5813953488372093,1.72,0.47619047619047616,2.1
12083829,2025-10-30,11:10:00,Paris,Paris - 1/8-finals,Cameron Norrie,Valentin Vacherot,-0.10520487264673317,0.47619047619047616,2.1,0.5813953488372093,1.72
12083883,2025-10-30,13:10:00,Paris,Paris - 1/8-finals,Felix Auger-Aliassime,Daniel Altmaier,0.3308080808080808,0.6944444444444444,1.44,0.36363636363636365,2.75
12083680,2025-10-30,14:40:00,Paris,Paris - 1/8-finals,Ben Shelton,Andrey Rublev,0.1478641840087624,0.6024096385542169,1.66,0.45454545454545453,2.2
12084089,2025-10-30,16:10:00,Paris,Paris - 1/8-finals,Taylor Fritz,Alexander Bublik,0.10520487264673317,0.5813953488372093,1.72,0.47619047619047616,2.1
12084118,2025-10-30,16:40:00,Paris,Paris - 1/8-finals,Karen Khachanov,Alex De Minaur,-0.1478641840087624,0.45454545454545453,2.2,0.6024096385542169,1.66
