match_key,date,time,tournament,round,first_player,second_player,winner_is_first,has_stats,has_enough_stats,has_odds,num_stats_values,odds_implied_prob_diff,odds_p1_implied_prob,odds_p1_moneyline,odds_p2_implied_prob,odds_p2_moneyline
12086123,2025-11-07,18:10:00,Athens,Athens - Semi-finals,Sebastian Korda,Lorenzo Musetti,0,0,0,1,0,-0.10520487264673317,0.47619047619047616,2.1,0.5813953488372093,1.72
12085854,2025-11-06,12:10:00,Athens,Athens - Quarter-finals,Sebastian Korda,Miomir Kecmanovic,1,0,0,1,0,0.3308080808080808,0.6944444444444444,1.44,0.36363636363636365,2.75
12085715,2025-11-06,14:10:00,Metz,Metz - Quarter-finals,Kyrian Jacquet,Cameron Norrie,0,0,0,1,0,-0.48351648351648346,0.2857142857142857,3.5,0.7692307692307692,1.3
12085903,2025-11-06,14:10:00,Athens,Athens - Quarter-finals,Alexandre Muller,Lorenzo Musetti,0,0,0,1,0,-0.6111111111111112,0.2222222222222222,4.5,0.8333333333333334,1.2
12085732,2025-11-06,16:50:00,Metz,Metz - Quarter-finals,Lorenzo Sonego,Daniel Altmaier,1,0,0,1,0,0.25359477124183005,0.6535947712418301,1.53,0.4,2.5
12085614,2025-11-06,17:10:00,Athens,Athens - Quarter-finals,Novak Djokovic,Nuno Borges,1,0,0,1,0,0.6953748006379585,0.8771929824561404,1.14,0.18181818181818182,5.5
12085912,2025-11-06,19:15:00,Athens,Athens - Quarter-finals,Marcos Giron,Yannick Hanfmann,0,0,0,1,0,0.18633540372670798,0.6211180124223602,1.61,0.4347826086956522,2.3
12085913,2025-11-06,19:15:00,Metz,Metz - Quarter-finals,Matteo Berrettini,Learner Tien,0,0,0,1,0,0.1478641840087624,0.6024096385542169,1.66,0.45454545454545453,2.2
12085733,2025-11-06,21:20:00,Metz,Metz - Quarter-finals,Clement Tabur,Vitaliy Sachko,0,0,0,1,0,0.05555555555555558,0.5555555555555556,1.8,0.5,2.0
12085362,2025-11-05,12:10:00,Metz,Metz - 1/8-finals,Dan Added,Kyrian Jacquet,0,0,0,1,0,-0.3308080808080808,0.36363636363636365,2.75,0.6944444444444444,1.44
12084968,2025-11-05,13:10:00,Athens,Athens - 1/8-finals,Miomir Kecmanovic,Luciano Darderi,1,0,0,1,0,0.3308080808080808,0.6944444444444444,1.44,0.36363636363636365,2.75
12085363,2025-11-05,13:20:00,Metz,Metz - 1/8-finals,Clement Tabur,Alexander Blockx,1,0,0,1,0,-0.3308080808080808,0.36363636363636365,2.75,0.6944444444444444,1.44
12084957,2025-11-05,14:10:00,Metz,Metz - 1/8-finals,Learner Tien,Moez Echargui,1,0,0,1,0,0.8009259259259258,0.9259259259259258,1.08,0.125,8.0
12085465,2025-11-05,15:15:00,Athens,Athens - 1/8-finals,Yannick Hanfmann,Vit Kopriva,1,0,0,1,0,0.42279411764705876,0.7352941176470588,1.36,0.3125,3.2
12085466,2025-11-05,15:25:00,Athens,Athens - 1/8-finals,Alexandre Muller,Martin Etcheverry Tomas,1,0,0,1,0,-0.1478641840087624,0.45454545454545453,2.2,0.6024096385542169,1.66
12085364,2025-11-05,16:05:00,Metz,Metz - 1/8-finals,Hugo Gaston,Daniel Altmaier,0,0,0,1,0,0.05555555555555558,0.5555555555555556,1.8,0.5,2.0
12084956,2025-11-05,18:10:00,Metz,Metz - 1/8-finals,Vitaliy Sachko,Alexander Bublik,1,0,0,1,0,-0.747054747054747,0.15384615384615385,6.5,0.9009009009009008,1.11
12084969,2025-11-05,18:45:00,Athens,Athens - 1/8-finals,Stan Wawrinka,Lorenzo Musetti,0,0,0,1,0,-0.6620689655172414,0.2,5.0,0.8620689655172414,1.16
12085365,2025-11-05,20:35:00,Metz,Metz - 1/8-finals,Aleksandar Vukic,Matteo Berrettini,0,0,0,1,0,-0.55,0.25,4.0,0.8,1.25
12085467,2025-11-05,21:35:00,Athens,Athens - 1/8-finals,Brandon Nakashima,Marcos Giron,0,0,0,1,0,0.2150017468891935,0.6369426751592356,1.57,0.42194092827004215,2.37
12084596,2025-11-04,11:00:00,Metz,ATP Metz - 1/16-finals,Tallon Griekspoor,Aleksandar Kovacevic,0,0,0,1,0,0.1478641840087624,0.6024096385542169,1.66,0.45454545454545453,2.2
12084858,2025-11-04,12:05:00,Metz,Metz - 1/16-finals,Kyrian Jacquet,Luca van Assche,1,0,0,1,0,-0.2150017468891935,0.42194092827004215,2.37,0.6369426751592356,1.57
12084873,2025-11-04,13:10:00,Athens,Athens - 1/16-finals,Mackenzie McDonald,Martin Etcheverry Tomas,0,0,0,1,0,-0.10520487264673317,0.47619047619047616,2.1,0.5813953488372093,1.72
12084591,2025-11-04,14:10:00,Metz,Metz - 1/16-finals,Daniel Altmaier,Arthur Rinderknech,1,0,0,1,0,-0.25359477124183005,0.4,2.5,0.6535947712418301,1.53
12084872,2025-11-04,14:10:00,Athens,Athens - 1/16-finals,Yannick Hanfmann,Ivan Ivanov,1,0,0,1,0,0.8433962264150943,0.9433962264150942,1.06,0.1,10.0
12084859,2025-11-04,14:50:00,Metz,Metz - 1/16-finals,Francesco Passaro,Alexander Blockx,0,0,0,1,0,-0.25359477124183005,0.4,2.5,0.6535947712418301,1.53
12084563,2025-11-04,15:40:00,Athens,Athens - 1/16-finals,Marcos Giron,Pedro Martinez,1,0,0,1,0,0.55,0.8,1.25,0.25,4.0
12084597,2025-11-04,15:55:00,Metz,Metz - 1/16-finals,Corentin Moutet,Aleksandar Vukic,0,0,0,1,0,0.55,0.8,1.25,0.25,4.0
12084966,2025-11-04,16:20:00,Athens,Athens - 1/8-finals,Sebastian Korda,Damir Dzumhur,1,0,0,1,0,0.5145833333333334,0.78125,1.28,0.26666666666666666,3.75
12084871,2025-11-04,18:35:00,Athens,Athens - 1/8-finals,Novak Djokovic,Alejandro Tabilo,1,0,0,1,0,0.6111111111111112,0.8333333333333334,1.2,0.2222222222222222,4.5
12084955,2025-11-04,19:00:00,Metz,Metz - 1/8-finals,Flavio Cobolli,Lorenzo Sonego,0,0,0,1,0,0.10520487264673317,0.5813953488372093,1.72,0.47619047619047616,2.1
12084967,2025-11-04,20:40:00,Athens,Athens - 1/8-finals,Eliot Spizzirri,Nuno Borges,0,0,0,1,0,-0.18633540372670798,0.4347826086956522,2.3,0.6211180124223602,1.61
12084972,2025-11-04,21:30:00,Metz,Metz - 1/8-finals,Arthur Cazaux,Cameron Norrie,0,0,0,1,0,-0.10520487264673317,0.47619047619047616,2.1,0.5813953488372093,1.72
12084598,2025-11-03,11:00:00,Metz,ATP Metz - 1/16-finals,Giovanni Mpetshi Perricard,Tomas Machac,0,0,0,1,0,-0.10520487264673317,0.47619047619047616,2.1,0.5813953488372093,1.72
12084562,2025-11-03,13:10:00,Athens,Athens - 1/16-finals,Damir Dzumhur,Jacob Fearnley,1,0,0,1,0,-0.42279411764705876,0.3125,3.2,0.7352941176470588,1.36
12084594,2025-11-03,13:40:00,Metz,Metz - 1/16-finals,Ugo Blanchet,Learner Tien,0,0,0,1,0,-0.588725248930451,0.23094688221709006,4.33,0.819672131147541,1.22
12084868,2025-11-03,14:05:00,Athens,Athens - 1/16-finals,Eliot Spizzirri,Laslo Djere,1,0,0,1,0,0.3308080808080808,0.6944444444444444,1.44,0.36363636363636365,2.75
12084855,2025-11-03,14:10:00,Metz,Metz - 1/16-finals,Jan Choinski,Lorenzo Sonego,0,0,0,1,0,-0.6111111111111112,0.2222222222222222,4.5,0.8333333333333334,1.2
12084564,2025-11-03,14:45:00,Athens,Athens - 1/16-finals,Miomir Kecmanovic,Kamil Majchrzak,1,0,0,1,0,-0.05555555555555558,0.5,2.0,0.5555555555555556,1.8
12084856,2025-11-03,15:00:00,Metz,Metz - 1/16-finals,Clement Tabur,Aleksandar Kovacevic,1,0,0,1,0,-0.3308080808080808,0.36363636363636365,2.75,0.6944444444444444,1.44
12084857,2025-11-03,16:45:00,Metz,Metz - 1/16-finals,Giovanni Mpetshi Perricard,Vitaliy Sachko,0,0,0,1,0,0.588725248930451,0.819672131147541,1.22,0.23094688221709006,4.33
12084569,2025-11-03,17:10:00,Athens,Athens - 1/16-finals,Stan Wawrinka,Botic Van De Zandschulp,1,0,0,1,0,-0.25359477124183005,0.4,2.5,0.6535947712418301,1.53
12084565,2025-11-03,18:30:00,Athens,ATP Athens - 1/16-finals,Reilly Opelka,Fabian Marozsan,0,0,0,1,0,-0.10520487264673317,0.47619047619047616,2.1,0.5813953488372093,1.72
12084599,2025-11-03,18:35:00,Metz,Metz - 1/16-finals,Valentin Royer,Cameron Norrie,0,0,0,1,0,-0.28498727735368956,0.38167938931297707,2.62,0.6666666666666666,1.5
12084869,2025-11-03,19:45:00,Athens,Athens - 1/16-finals,Alexandre Muller,Jan-Lennard Struff,1,0,0,1,0,-0.18633540372670798,0.4347826086956522,2.3,0.6211180124223602,1.61
12084870,2025-11-03,20:15:00,Athens,Athens - 1/16-finals,Reilly Opelka,Vit Kopriva,0,0,0,1,0,0.4577620521892967,0.7518796992481203,1.33,0.29411764705882354,3.4
12084593,2025-11-03,21:00:00,Metz,Metz - 1/16-finals,Matteo Berrettini,Quentin Halys,1,0,0,1,0,0.55,0.8,1.25,0.25,4.0
12084654,2025-11-02,09:40:00,Athens,Athens - Final,Alex Molcan,Yannick Hanfmann,0,0,0,1,0,-0.35064935064935066,0.36363636363636365,2.75,0.7142857142857143,1.4
