Player,Match,first_serve_pctg,second_serve_pctg,double_faults,win
Matteo Berrettini,20210908-M-US_Open-QF-Novak_Djokovic-Matteo_Berrettini,61.2,96.5,2,False
Felix Auger Aliassime,20210910-M-US_Open-SF-Felix_Auger_Aliassime-Daniil_Medvedev,62.6,70.6,10,False
Daniil Medvedev,20210910-M-US_Open-SF-Felix_Auger_Aliassime-Daniil_Medvedev,68.6,85.2,4,True
Novak Djokovic,20210910-M-US_Open-SF-Novak_Djokovic-Alexander_Zverev,66.0,96.1,2,True
Alexander Zverev,20210910-M-US_Open-SF-Novak_Djokovic-Alexander_Zverev,62.1,83.0,8,False
Novak Djokovic,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,54.3,92.9,3,False
Daniil Medvedev,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,57.8,76.3,9,True
Francisco Llanes,20210918-M-Davis_Cup_Group_I-RR-Francisco_Llanes-Botic_Van_De_Zandschulp,64.0,94.4,1,False
Botic Van De Zandschulp,20210918-M-Davis_Cup_Group_I-RR-Francisco_Llanes-Botic_Van_De_Zandschulp,72.5,63.6,4,True
Martin Cuevas,20210918-M-Davis_Cup_Group_I-RR-Martin_Cuevas-Tallon_Griekspoor,59.8,79.5,8,False
Tallon Griekspoor,20210918-M-Davis_Cup_Group_I-RR-Martin_Cuevas-Tallon_Griekspoor,57.7,90.9,3,True
Hubert Hurkacz,20210923-M-Metz-R16-Hubert_Hurkacz-Lucas_Pouille,63.3,100.0,0,True
Lucas Pouille,20210923-M-Metz-R16-Hubert_Hurkacz-Lucas_Pouille,54.8,89.3,3,False
Andy Murray,20210924-M-Metz-QF-Andy_Murray-Hubert_Hurkacz,65.1,90.9,2,False
Hubert Hurkacz,20210924-M-Metz-QF-Andy_Murray-Hubert_Hurkacz,69.2,100.0,0,True
Hubert Hurkacz,20210925-M-Metz-SF-Hubert_Hurkacz-Peter_Gojowczyk,60.9,100.0,0,True
Peter Gojowczyk,20210925-M-Metz-SF-Hubert_Hurkacz-Peter_Gojowczyk,48.2,97.7,1,False
Alex Bolt,20210929-M-San_Diego-R32-Alex_Bolt-Hubert_Hurkacz,54.3,100.0,0,False
Hubert Hurkacz,20210929-M-San_Diego-R32-Alex_Bolt-Hubert_Hurkacz,57.4,100.0,0,True
Roberto Carballes Baena,20211003-M-Murcia_CH-F-Roberto_Carballes_Baena-Tallon_Griekspoor,62.8,93.8,2,False
Tallon Griekspoor,20211003-M-Murcia_CH-F-Roberto_Carballes_Baena-Tallon_Griekspoor,65.3,91.2,3,True
Jannik Sinner,20211003-M-Sofia-F-Jannik_Sinner-Gael_Monfils,51.9,96.2,1,True
Gael Monfils,20211003-M-Sofia-F-Jannik_Sinner-Gael_Monfils,58.8,90.5,2,False
Sebastian Baez,20211004-M-Santiago_CH-R32-Sebastian_Baez-Dalibor_Svrcina,69.8,100.0,0,True
Dalibor Svrcina,20211004-M-Santiago_CH-R32-Sebastian_Baez-Dalibor_Svrcina,66.1,85.7,3,False
Marcos Giron,20211007-M-Indian_Wells_Masters-R128-Marcos_Giron-Botic_Van_De_Zandschulp,63.8,95.2,2,True
Botic Van De Zandschulp,20211007-M-Indian_Wells_Masters-R128-Marcos_Giron-Botic_Van_De_Zandschulp,64.8,76.3,9,False
Facundo Mena,20211008-M-Santiago_CH-QF-Facundo_Mena-Sebastian_Baez,53.7,92.0,2,False
Sebastian Baez,20211008-M-Santiago_CH-QF-Facundo_Mena-Sebastian_Baez,78.0,100.0,0,True
Hubert Hurkacz,20211009-M-Indian_Wells_Masters-R64-Hubert_Hurkacz-Alexei_Popyrin,62.7,84.0,4,True
Alexei Popyrin,20211009-M-Indian_Wells_Masters-R64-Hubert_Hurkacz-Alexei_Popyrin,58.1,84.6,4,False
Andy Murray,20211010-M-Indian_Wells_Masters-R64-Andy_Murray-Carlos_Alcaraz,59.4,92.7,3,True
Carlos Alcaraz,20211010-M-Indian_Wells_Masters-R64-Andy_Murray-Carlos_Alcaraz,62.5,91.7,3,False
Tallon Griekspoor,20211010-M-Napoli_CH-F-Tallon_Griekspoor-Andrea_Pellegrino,78.0,100.0,0,True
Andrea Pellegrino,20211010-M-Napoli_CH-F-Tallon_Griekspoor-Andrea_Pellegrino,76.6,90.9,1,False
Grigor Dimitrov,20211011-M-Indian_Wells_Masters-R32-Grigor_Dimitrov-Reilly_Opelka,77.1,81.8,2,True
Reilly Opelka,20211011-M-Indian_Wells_Masters-R32-Grigor_Dimitrov-Reilly_Opelka,60.0,95.5,1,False
Hubert Hurkacz,20211011-M-Indian_Wells_Masters-R32-Hubert_Hurkacz-Frances_Tiafoe,70.8,100.0,0,True
Frances Tiafoe,20211011-M-Indian_Wells_Masters-R32-Hubert_Hurkacz-Frances_Tiafoe,54.5,92.0,2,False
John Isner,20211011-M-Indian_Wells_Masters-R64-John_Isner-Yoshihito_Nishioka,56.9,90.9,2,True
Yoshihito Nishioka,20211011-M-Indian_Wells_Masters-R64-John_Isner-Yoshihito_Nishioka,64.7,88.9,2,False
Denis Shapovalov,20211012-M-Indian_Wells_Masters-R32-Denis_Shapovalov-Aslan_Karatsev,62.1,81.8,4,False
Aslan Karatsev,20211012-M-Indian_Wells_Masters-R32-Denis_Shapovalov-Aslan_Karatsev,44.3,91.2,3,True
Taylor Fritz,20211012-M-Indian_Wells_Masters-R32-Taylor_Fritz-Matteo_Berrettini,58.7,92.3,2,True
Matteo Berrettini,20211012-M-Indian_Wells_Masters-R32-Taylor_Fritz-Matteo_Berrettini,62.5,85.7,3,False
Grigor Dimitrov,20211013-M-Indian_Wells_Masters-R16-Grigor_Dimitrov-Daniil_Medvedev,80.0,72.2,5,True
Daniil Medvedev,20211013-M-Indian_Wells_Masters-R16-Grigor_Dimitrov-Daniil_Medvedev,54.3,83.8,6,False
Hubert Hurkacz,20211013-M-Indian_Wells_Masters-R16-Hubert_Hurkacz-Aslan_Karatsev,70.5,100.0,0,True
Aslan Karatsev,20211013-M-Indian_Wells_Masters-R16-Hubert_Hurkacz-Aslan_Karatsev,62.7,73.7,5,False
Feliciano Lopez,20211013-M-Villena_CH-R32-Feliciano_Lopez-Roberto_Marcora,61.0,93.8,1,True
Roberto Marcora,20211013-M-Villena_CH-R32-Feliciano_Lopez-Roberto_Marcora,55.1,81.8,4,False
Hubert Hurkacz,20211014-M-Indian_Wells_Masters-QF-Hubert_Hurkacz-Grigor_Dimitrov,59.6,97.6,1,False
Grigor Dimitrov,20211014-M-Indian_Wells_Masters-QF-Hubert_Hurkacz-Grigor_Dimitrov,75.3,83.3,4,True
Hugo Grenier,20211014-M-Villena_CH-R16-Hugo_Grenier-Feliciano_Lopez,72.4,90.5,2,True
Feliciano Lopez,20211014-M-Villena_CH-R16-Hugo_Grenier-Feliciano_Lopez,54.3,89.2,4,False
Grigor Dimitrov,20211016-M-Indian_Wells_Masters-SF-Grigor_Dimitrov-Cameron_Norrie,61.3,83.3,4,False
Cameron Norrie,20211016-M-Indian_Wells_Masters-SF-Grigor_Dimitrov-Cameron_Norrie,70.9,93.8,1,True
Taylor Fritz,20211016-M-Indian_Wells_Masters-SF-Taylor_Fritz-Nikoloz_Basilashvili,58.7,88.5,3,False
Nikoloz Basilashvili,20211016-M-Indian_Wells_Masters-SF-Taylor_Fritz-Nikoloz_Basilashvili,70.0,96.3,1,True
Alexander Ritschard,20211017-M-Ercolano_CH-F-Alexander_Ritschard-Tallon_Griekspoor,64.8,100.0,0,False
Tallon Griekspoor,20211017-M-Ercolano_CH-F-Alexander_Ritschard-Tallon_Griekspoor,58.7,100.0,0,True
Nikoloz Basilashvili,20211017-M-Indian_Wells_Masters-F-Nikoloz_Basilashvili-Cameron_Norrie,60.8,100.0,0,False
Cameron Norrie,20211017-M-Indian_Wells_Masters-F-Nikoloz_Basilashvili-Cameron_Norrie,59.7,93.1,2,True
Botic Van De Zandschulp,20211020-M-Antwerp-R16-Botic_Van_De_Zandschulp-Jenson_Brooksby,52.9,83.3,4,False
Jenson Brooksby,20211020-M-Antwerp-R16-Botic_Van_De_Zandschulp-Jenson_Brooksby,53.7,94.7,1,True
Reilly Opelka,20211021-M-Antwerp-R32-Reilly_Opelka-Jenson_Brooksby,68.5,100.0,0,False
Jenson Brooksby,20211021-M-Antwerp-R32-Reilly_Opelka-Jenson_Brooksby,73.1,100.0,0,True
Sebastian Baez,20211021-M-Buenos_Aires_CH-R16-Sebastian_Baez-Juan_Ignacio_Londero,78.0,81.8,2,True
Juan Ignacio Londero,20211021-M-Buenos_Aires_CH-R16-Sebastian_Baez-Juan_Ignacio_Londero,50.7,87.9,4,False
Alexei Popyrin,20211021-M-Vienna-R32-Alexei_Popyrin-Matteo_Berrettini,55.9,93.3,2,False
Matteo Berrettini,20211021-M-Vienna-R32-Alexei_Popyrin-Matteo_Berrettini,68.3,90.0,2,True
Arthur Rinderknech,20211022-M-Antwerp-QF-Arthur_Rinderknech-Jannik_Sinner,57.1,95.8,1,False
Jannik Sinner,20211022-M-Antwerp-QF-Arthur_Rinderknech-Jannik_Sinner,64.4,93.8,1,True
Brandon Nakashima,20211022-M-Antwerp-QF-Brandon_Nakashima-Diego_Schwartzman,64.8,100.0,0,False
Diego Schwartzman,20211022-M-Antwerp-QF-Brandon_Nakashima-Diego_Schwartzman,60.5,88.2,2,True
Jenson Brooksby,20211022-M-Antwerp-QF-Jenson_Brooksby-Alejandro_Davidovich_Fokina,59.0,96.0,1,True
Alejandro Davidovich Fokina,20211022-M-Antwerp-QF-Jenson_Brooksby-Alejandro_Davidovich_Fokina,67.1,84.0,4,False
Juan Pablo Varillas,20211023-M-Buenos_Aires_CH-QF-Juan_Pablo_Varillas-Sebastian_Baez,54.7,91.7,2,False
Sebastian Baez,20211023-M-Buenos_Aires_CH-QF-Juan_Pablo_Varillas-Sebastian_Baez,77.6,100.0,0,True
Diego Schwartzman,20211024-M-Antwerp-F-Diego_Schwartzman-Jannik_Sinner,55.1,95.5,1,False
Jannik Sinner,20211024-M-Antwerp-F-Diego_Schwartzman-Jannik_Sinner,52.3,90.5,2,True
Carlos Alcaraz,20211025-M-Vienna-R32-Carlos_Alcaraz-Daniel_Evans,68.4,94.4,1,True
Daniel Evans,20211025-M-Vienna-R32-Carlos_Alcaraz-Daniel_Evans,60.8,95.0,1,False
Hubert Hurkacz,20211025-M-Vienna-R32-Hubert_Hurkacz-Andy_Murray,58.5,100.0,0,False
Andy Murray,20211025-M-Vienna-R32-Hubert_Hurkacz-Andy_Murray,57.3,93.2,3,True
Reilly Opelka,20211027-M-Vienna-R32-Reilly_Opelka-Jannik_Sinner,82.0,88.9,1,False
Jannik Sinner,20211027-M-Vienna-R32-Reilly_Opelka-Jannik_Sinner,69.0,92.3,1,True
John Millman,20211028-M-St_Petersburg-R16-John_Millman-Aslan_Karatsev,68.0,100.0,0,True
Aslan Karatsev,20211028-M-St_Petersburg-R16-John_Millman-Aslan_Karatsev,69.4,73.7,5,False
Gael Monfils,20211028-M-Vienna-R16-Gael_Monfils-Diego_Schwartzman,62.6,82.5,7,False
Diego Schwartzman,20211028-M-Vienna-R16-Gael_Monfils-Diego_Schwartzman,70.2,92.9,2,True
John Millman,20211029-M-St_Petersburg-QF-John_Millman-Taylor_Fritz,51.9,92.0,2,False
Taylor Fritz,20211029-M-St_Petersburg-QF-John_Millman-Taylor_Fritz,54.2,90.9,2,True
Casper Ruud,20211029-M-Vienna-QF-Casper_Ruud-Jannik_Sinner,43.8,94.4,2,False
Jannik Sinner,20211029-M-Vienna-QF-Casper_Ruud-Jannik_Sinner,67.7,100.0,0,True
Frances Tiafoe,20211030-M-Vienna-SF-Frances_Tiafoe-Jannik_Sinner,64.4,100.0,0,True
Jannik Sinner,20211030-M-Vienna-SF-Frances_Tiafoe-Jannik_Sinner,63.5,90.3,3,False
Lukas Lacko,20211031-M-Ismaning_CH-F-Lukas_Lacko-Oscar_Otte,60.3,86.2,4,False
Oscar Otte,20211031-M-Ismaning_CH-F-Lukas_Lacko-Oscar_Otte,69.6,100.0,0,True
Casper Ruud,20211102-M-Paris_Masters-R32-Casper_Ruud-Alexander_Bublik,51.0,92.0,2,True
Alexander Bublik,20211102-M-Paris_Masters-R32-Casper_Ruud-Alexander_Bublik,52.2,69.7,10,False
Carlos Alcaraz,20211102-M-Paris_Masters-R64-Carlos_Alcaraz-Pierre_Hugues_Herbert,62.7,95.1,2,True
Pierre Hugues Herbert,20211102-M-Paris_Masters-R64-Carlos_Alcaraz-Pierre_Hugues_Herbert,58.4,80.8,10,False
Marin Cilic,20211102-M-Paris_Masters-R64-Marin_Cilic-Alejandro_Davidovich_Fokina,53.0,90.3,3,True
Alejandro Davidovich Fokina,20211102-M-Paris_Masters-R64-Marin_Cilic-Alejandro_Davidovich_Fokina,63.2,95.2,1,False
Reilly Opelka,20211102-M-Paris_Masters-R64-Reilly_Opelka-Filip_Krajinovic,55.0,92.6,2,True
Filip Krajinovic,20211102-M-Paris_Masters-R64-Reilly_Opelka-Filip_Krajinovic,60.3,88.0,3,False
Dalibor Svrcina,20211102-M-Tenerife_CH-R32-Dalibor_Svrcina-Feliciano_Lopez,66.7,92.6,2,False
Feliciano Lopez,20211102-M-Tenerife_CH-R32-Dalibor_Svrcina-Feliciano_Lopez,58.9,87.2,5,True
Cameron Norrie,20211103-M-Paris_Masters-R32-Cameron_Norrie-Reilly_Opelka,69.4,100.0,0,True
Reilly Opelka,20211103-M-Paris_Masters-R32-Cameron_Norrie-Reilly_Opelka,56.1,88.0,3,False
Carlos Alcaraz,20211103-M-Paris_Masters-R32-Carlos_Alcaraz-Jannik_Sinner,57.0,88.2,4,True
Jannik Sinner,20211103-M-Paris_Masters-R32-Carlos_Alcaraz-Jannik_Sinner,63.5,93.5,2,False
Hubert Hurkacz,20211103-M-Paris_Masters-R32-Hubert_Hurkacz-Tommy_Paul,66.2,84.0,4,True
Tommy Paul,20211103-M-Paris_Masters-R32-Hubert_Hurkacz-Tommy_Paul,52.9,92.5,3,False
Taylor Fritz,20211103-M-Paris_Masters-R32-Taylor_Fritz-Andrey_Rublev,65.3,96.2,1,True
Andrey Rublev,20211103-M-Paris_Masters-R32-Taylor_Fritz-Andrey_Rublev,66.7,100.0,0,False
Carlos Alcaraz,20211104-M-Paris_Masters-R16-Carlos_Alcaraz-Hugo_Gaston,53.0,87.1,4,False
Hugo Gaston,20211104-M-Paris_Masters-R16-Carlos_Alcaraz-Hugo_Gaston,54.1,96.4,1,True
Casper Ruud,20211104-M-Paris_Masters-R16-Casper_Ruud-Marcos_Giron,62.2,94.1,1,True
Marcos Giron,20211104-M-Paris_Masters-R16-Casper_Ruud-Marcos_Giron,45.1,100.0,0,False
Hubert Hurkacz,20211104-M-Paris_Masters-R16-Hubert_Hurkacz-Dominik_Koepfer,65.2,93.5,2,True
Dominik Koepfer,20211104-M-Paris_Masters-R16-Hubert_Hurkacz-Dominik_Koepfer,74.0,92.3,2,False
Casper Ruud,20211105-M-Paris_Masters-QF-Casper_Ruud-Alexander_Zverev,68.6,100.0,0,False
Alexander Zverev,20211105-M-Paris_Masters-QF-Casper_Ruud-Alexander_Zverev,75.9,100.0,0,True
James Duckworth,20211105-M-Paris_Masters-QF-James_Duckworth-Hubert_Hurkacz,56.0,97.9,1,False
Hubert Hurkacz,20211105-M-Paris_Masters-QF-James_Duckworth-Hubert_Hurkacz,64.0,100.0,0,True
Novak Djokovic,20211105-M-Paris_Masters-QF-Novak_Djokovic-Taylor_Fritz,72.3,76.9,3,True
Taylor Fritz,20211105-M-Paris_Masters-QF-Novak_Djokovic-Taylor_Fritz,62.7,81.8,4,False
Alexander Zverev,20211106-M-Paris_Masters-SF-Alexander_Zverev-Daniil_Medvedev,66.7,78.9,4,False
Daniil Medvedev,20211106-M-Paris_Masters-SF-Alexander_Zverev-Daniil_Medvedev,56.9,100.0,0,True
Hubert Hurkacz,20211106-M-Paris_Masters-SF-Hubert_Hurkacz-Novak_Djokovic,66.3,94.3,2,False
Novak Djokovic,20211106-M-Paris_Masters-SF-Hubert_Hurkacz-Novak_Djokovic,55.8,91.2,3,True
Maxime Cressy,20211107-M-Eckental_CH-F-Maxime_Cressy-Daniel_Masur,75.4,75.0,4,False
Daniel Masur,20211107-M-Eckental_CH-F-Maxime_Cressy-Daniel_Masur,72.9,87.5,2,True
Jesper De Jong,20211107-M-Guayaquil_CH-F-Jesper_De_Jong-Alejandro_Tabilo,61.7,95.7,1,False
Alejandro Tabilo,20211107-M-Guayaquil_CH-F-Jesper_De_Jong-Alejandro_Tabilo,64.0,88.9,2,True
Novak Djokovic,20211107-M-Paris_Masters-F-Novak_Djokovic-Daniil_Medvedev,66.3,93.1,2,True
Daniil Medvedev,20211107-M-Paris_Masters-F-Novak_Djokovic-Daniil_Medvedev,59.1,91.7,3,False
Tommy Paul,20211107-M-Stockholm-R32-Tommy_Paul-Leo_Borg,61.5,95.0,1,True
Leo Borg,20211107-M-Stockholm-R32-Tommy_Paul-Leo_Borg,50.0,80.8,5,False
Feliciano Lopez,20211107-M-Tenerife_CH-F-Feliciano_Lopez-Tallon_Griekspoor,61.5,84.0,4,False
Tallon Griekspoor,20211107-M-Tenerife_CH-F-Feliciano_Lopez-Tallon_Griekspoor,70.5,94.4,1,True
Andrea Vavassori,20211108-M-Stockholm-R32-Andrea_Vavassori-Pavel_Kotov,71.7,100.0,0,True
Pavel Kotov,20211108-M-Stockholm-R32-Andrea_Vavassori-Pavel_Kotov,61.1,85.7,3,False
Hugo Gaston,20211109-M-NextGen_Finals-RR-Hugo_Gaston-Sebastian_Korda,60.0,95.0,2,False
Sebastian Korda,20211109-M-NextGen_Finals-RR-Hugo_Gaston-Sebastian_Korda,64.1,90.9,3,True
Andy Murray,20211109-M-Stockholm-R32-Andy_Murray-Viktor_Durasovic,62.9,95.7,1,True
Viktor Durasovic,20211109-M-Stockholm-R32-Andy_Murray-Viktor_Durasovic,53.6,93.8,2,False
Tallon Griekspoor,20211114-M-Bratislava_CH-F-Tallon_Griekspoor-Zsombor_Piros,66.0,100.0,0,True
Zsombor Piros,20211114-M-Bratislava_CH-F-Tallon_Griekspoor-Zsombor_Piros,57.1,91.7,2,False
Hubert Hurkacz,20211114-M-Tour_Finals-RR-Hubert_Hurkacz-Daniil_Medvedev,65.9,100.0,0,False
Daniil Medvedev,20211114-M-Tour_Finals-RR-Hubert_Hurkacz-Daniil_Medvedev,73.0,95.8,1,True
Matteo Berrettini,20211114-M-Tour_Finals-RR-Matteo_Berrettini-Alexander_Zverev,67.6,100.0,0,False
Alexander Zverev,20211114-M-Tour_Finals-RR-Matteo_Berrettini-Alexander_Zverev,72.2,93.3,1,True
Novak Djokovic,20211115-M-Tour_Finals-RR-Novak_Djokovic-Casper_Ruud,73.6,100.0,0,True
Casper Ruud,20211115-M-Tour_Finals-RR-Novak_Djokovic-Casper_Ruud,62.3,84.6,4,False
Stefanos Tsitsipas,20211115-M-Tour_Finals-RR-Stefanos_Tsitsipas-Andrey_Rublev,62.7,92.9,2,False
Andrey Rublev,20211115-M-Tour_Finals-RR-Stefanos_Tsitsipas-Andrey_Rublev,68.3,84.2,3,True
Hubert Hurkacz,20211116-M-Tour_Finals-RR-Hubert_Hurkacz-Jannik_Sinner,66.0,100.0,0,False
Jannik Sinner,20211116-M-Tour_Finals-RR-Hubert_Hurkacz-Jannik_Sinner,56.5,100.0,0,True
Novak Djokovic,20211117-M-Tour_Finals-RR-Novak_Djokovic-Andrey_Rublev,64.6,100.0,0,True
Andrey Rublev,20211117-M-Tour_Finals-RR-Novak_Djokovic-Andrey_Rublev,53.8,95.8,1,False
Hubert Hurkacz,20211118-M-Tour_Finals-RR-Hubert_Hurkacz-Alexander_Zverev,64.8,100.0,0,False
Alexander Zverev,20211118-M-Tour_Finals-RR-Hubert_Hurkacz-Alexander_Zverev,77.1,100.0,0,True
Jannik Sinner,20211118-M-Tour_Finals-RR-Jannik_Sinner-Daniil_Medvedev,60.6,95.1,2,False
Daniil Medvedev,20211118-M-Tour_Finals-RR-Jannik_Sinner-Daniil_Medvedev,70.6,83.3,5,True
Casper Ruud,20211119-M-Tour_Finals-RR-Casper_Ruud-Andrey_Rublev,66.4,89.7,4,True
Andrey Rublev,20211119-M-Tour_Finals-RR-Casper_Ruud-Andrey_Rublev,66.3,90.3,3,False
Francisco Cerundolo,20211120-M-Campinas_CH-SF-Francisco_Cerundolo-Sebastian_Baez,71.6,77.8,6,False
Sebastian Baez,20211120-M-Campinas_CH-SF-Francisco_Cerundolo-Sebastian_Baez,71.1,87.5,3,True
Casper Ruud,20211120-M-Tour_Finals-SF-Casper_Ruud-Daniil_Medvedev,69.4,84.2,3,False
Daniil Medvedev,20211120-M-Tour_Finals-SF-Casper_Ruud-Daniil_Medvedev,59.6,89.5,2,True
Novak Djokovic,20211120-M-Tour_Finals-SF-Novak_Djokovic-Alexander_Zverev,66.3,96.8,1,False
Alexander Zverev,20211120-M-Tour_Finals-SF-Novak_Djokovic-Alexander_Zverev,71.9,96.3,1,True
Jiri Lehecka,20211121-M-Pau_CH-F-Jiri_Lehecka-Radu_Albot,63.5,95.7,1,False
Radu Albot,20211121-M-Pau_CH-F-Jiri_Lehecka-Radu_Albot,73.3,100.0,0,True
Daniil Medvedev,20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev,58.6,91.7,2,False
Alexander Zverev,20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev,74.1,92.9,1,True
Marin Cilic,20211125-M-Davis_Cup_Finals-RR-Marin_Cilic-Alex_De_Minaur,59.5,80.0,6,True
Alex De Minaur,20211125-M-Davis_Cup_Finals-RR-Marin_Cilic-Alex_De_Minaur,69.3,77.4,7,False
Daniel Elahi Galan,20211127-M-Davis_Cup_Finals-RR-Daniel_Elahi_Galan-Jannik_Sinner,59.6,85.7,3,False
Jannik Sinner,20211127-M-Davis_Cup_Finals-RR-Daniel_Elahi_Galan-Jannik_Sinner,49.0,100.0,0,True
Fabian Marozsan,20211128-M-Davis_Cup_Finals-RR-Fabian_Marozsan-Nino_Serdarusic,57.4,87.0,3,False
Nino Serdarusic,20211128-M-Davis_Cup_Finals-RR-Fabian_Marozsan-Nino_Serdarusic,69.1,82.4,3,True
Nicolas Mejia,20211128-M-Davis_Cup_Finals-RR-Nicolas_Mejia-Frances_Tiafoe,62.9,92.3,3,False
Frances Tiafoe,20211128-M-Davis_Cup_Finals-RR-Nicolas_Mejia-Frances_Tiafoe,60.8,92.5,3,True
Mikhail Kukushkin,20211201-M-Davis_Cup_Finals-QF-Mikhail_Kukushkin-Miomir_Kecmanovic,69.3,97.6,1,True
Miomir Kecmanovic,20211201-M-Davis_Cup_Finals-QF-Mikhail_Kukushkin-Miomir_Kecmanovic,66.1,90.2,4,False
Benjamin Bonzi,20211208-M-French_Club-RR-Benjamin_Bonzi-Lucas_Pouille,60.0,91.7,2,True
Lucas Pouille,20211208-M-French_Club-RR-Benjamin_Bonzi-Lucas_Pouille,44.7,90.5,4,False
Hugo Gaston,20211208-M-French_Club-RR-Hugo_Gaston-Botic_Van_De_Zandschulp,47.9,89.2,4,True
Botic Van De Zandschulp,20211208-M-French_Club-RR-Hugo_Gaston-Botic_Van_De_Zandschulp,63.0,90.0,2,False
Kimmer Coppejans,20211210-M-Maia_CH-QF-Kimmer_Coppejans-Nuno_Borges,72.9,94.7,1,False
Nuno Borges,20211210-M-Maia_CH-QF-Kimmer_Coppejans-Nuno_Borges,69.2,100.0,0,True
Gijs Brouwer,20211219-M-Dutch_Championships-F-Gijs_Brouwer-Botic_Van_De_Zandschulp,71.3,100.0,0,False
Botic Van De Zandschulp,20211219-M-Dutch_Championships-F-Gijs_Brouwer-Botic_Van_De_Zandschulp,71.4,95.5,1,True
Aristotelis Thanos,20220101-M-ATP_Cup-RR-Aristotelis_Thanos-Hubert_Hurkacz,55.1,90.9,2,False
Hubert Hurkacz,20220101-M-ATP_Cup-RR-Aristotelis_Thanos-Hubert_Hurkacz,76.3,100.0,0,True
Hubert Hurkacz,20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli,78.9,100.0,0,True
Aleksandre Metreveli,20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli,50.0,92.0,4,False
Stefanos Tsitsipas,20220103-M-ATP_Cup-RR-Stefanos_Tsitsipas-Diego_Schwartzman,54.8,94.2,3,False
Diego Schwartzman,20220103-M-ATP_Cup-RR-Stefanos_Tsitsipas-Diego_Schwartzman,71.7,92.3,2,True
Tung Lin Wu,20220104-M-Nonthaburi_CH-R16-Tung_Lin_Wu-Yasutaka_Uchiyama,66.7,88.2,4,True
Yasutaka Uchiyama,20220104-M-Nonthaburi_CH-R16-Tung_Lin_Wu-Yasutaka_Uchiyama,67.7,100.0,0,False
Hubert Hurkacz,20220105-M-ATP_Cup-RR-Hubert_Hurkacz-Diego_Schwartzman,67.9,82.4,3,True
Diego Schwartzman,20220105-M-ATP_Cup-RR-Hubert_Hurkacz-Diego_Schwartzman,68.3,100.0,0,False
Rafael Nadal,20220105-M-Melbourne-R16-Rafael_Nadal-Ricardas_Berankis,64.9,90.0,2,True
Ricardas Berankis,20220105-M-Melbourne-R16-Rafael_Nadal-Ricardas_Berankis,60.9,88.0,3,False
Daniil Medvedev,20220106-M-ATP_Cup-RR-Daniil_Medvedev-Matteo_Berrettini,64.8,96.9,1,True
Matteo Berrettini,20220106-M-ATP_Cup-RR-Daniil_Medvedev-Matteo_Berrettini,66.0,97.2,1,False
Roman Safiullin,20220106-M-ATP_Cup-RR-Roman_Safiullin-Jannik_Sinner,61.4,92.6,2,False
Jannik Sinner,20220106-M-ATP_Cup-RR-Roman_Safiullin-Jannik_Sinner,61.1,94.3,2,True
Maxime Cressy,20220106-M-Melbourne-R16-Maxime_Cressy-Reilly_Opelka,68.0,75.0,10,True
Reilly Opelka,20220106-M-Melbourne-R16-Maxime_Cressy-Reilly_Opelka,65.1,89.2,4,False
Hubert Hurkacz,20220107-M-ATP_Cup-SF-Hubert_Hurkacz-Roberto_Bautista_Agut,66.7,92.5,3,False
Roberto Bautista Agut,20220107-M-ATP_Cup-SF-Hubert_Hurkacz-Roberto_Bautista_Agut,66.7,93.8,2,True
Grigor Dimitrov,20220107-M-Melbourne-QF-Grigor_Dimitrov-Botic_Van_De_Zandschulp,71.9,84.0,4,True
Botic Van De Zandschulp,20220107-M-Melbourne-QF-Grigor_Dimitrov-Botic_Van_De_Zandschulp,71.8,94.3,2,False
Maxime Cressy,20220108-M-Melbourne-SF-Maxime_Cressy-Grigor_Dimitrov,71.4,78.6,6,True
Grigor Dimitrov,20220108-M-Melbourne-SF-Maxime_Cressy-Grigor_Dimitrov,66.7,88.0,3,False
Maxime Cressy,20220109-M-Melbourne-F-Maxime_Cressy-Rafael_Nadal,71.8,85.0,3,False
Rafael Nadal,20220109-M-Melbourne-F-Maxime_Cressy-Rafael_Nadal,63.1,83.3,4,True
Robin Haase,20220110-M-Australian_Open-Q1-Robin_Haase-Andrej_Martin,50.6,88.1,5,True
Andrej Martin,20220110-M-Australian_Open-Q1-Robin_Haase-Andrej_Martin,56.1,90.7,4,False
J J Wolf,20220111-M-Australian_Open-Q1-J_J_Wolf-Sergiy_Stakhovsky,63.2,100.0,0,True
Sergiy Stakhovsky,20220111-M-Australian_Open-Q1-J_J_Wolf-Sergiy_Stakhovsky,49.2,100.0,0,False
Brandon Nakashima,20220111-M-Sydney-R16-Brandon_Nakashima-Fabio_Fognini,62.7,100.0,0,True
Fabio Fognini,20220111-M-Sydney-R16-Brandon_Nakashima-Fabio_Fognini,61.0,87.2,5,False
Aleksandar Vukic,20220113-M-Adelaide-QF-Aleksandar_Vukic-Thanasi_Kokkinakis,61.6,100.0,0,False
