Player,Match,first_serve_pctg,second_serve_pctg,double_faults,win
Steve Darcis,20200115-M-Australian_Open-Q1-Elliot_Benchetrit-Steve_Darcis,60.3,96.6,1,False
Hubert Hurkacz,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,62.9,91.7,3,True
Feliciano Lopez,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,57.7,81.8,8,False
Felix Auger Aliassime,20200117-M-Adelaide-SF-Felix_Auger_Aliassime-Andrey_Rublev,61.4,93.9,3,False
Andrey Rublev,20200117-M-Adelaide-SF-Felix_Auger_Aliassime-Andrey_Rublev,59.5,88.2,6,True
Tommy Paul,20200117-M-Adelaide-SF-Tommy_Paul-Lloyd_Harris,58.0,92.9,3,False
Lloyd Harris,20200117-M-Adelaide-SF-Tommy_Paul-Lloyd_Harris,60.7,91.4,3,True
Hubert Hurkacz,20200117-M-Auckland-SF-Hubert_Hurkacz-Benoit_Paire,60.7,78.8,7,False
Benoit Paire,20200117-M-Auckland-SF-Hubert_Hurkacz-Benoit_Paire,50.0,81.1,10,True
Lorenzo Musetti,20200118-M-Australian_Open-Q3-Lorenzo_Musetti-Tallon_Griekspoor,57.5,93.5,2,False
Tallon Griekspoor,20200118-M-Australian_Open-Q3-Lorenzo_Musetti-Tallon_Griekspoor,69.1,96.0,1,True
Attila Balazs,20200118-M-Bangkok_CH-F-Attila_Balazs-Aslan_Karatsev,56.4,92.2,4,True
Aslan Karatsev,20200118-M-Bangkok_CH-F-Attila_Balazs-Aslan_Karatsev,49.0,90.2,5,False
Denis Shapovalov,20200120-M-Australian_Open-R128-Denis_Shapovalov-Marton_Fucsovics,60.6,85.7,8,False
Marton Fucsovics,20200120-M-Australian_Open-R128-Denis_Shapovalov-Marton_Fucsovics,63.5,89.1,5,True
Roger Federer,20200120-M-Australian_Open-R128-Roger_Federer-Steve_Johnson,74.2,94.1,1,True
Steve Johnson,20200120-M-Australian_Open-R128-Roger_Federer-Steve_Johnson,63.0,92.6,2,False
Jurij Rodionov,20200120-M-Rennes_CH-R64-Jurij_Rodionov-Karim_Mohamed_Maamoun,56.2,87.5,4,False
Karim Mohamed Maamoun,20200120-M-Rennes_CH-R64-Jurij_Rodionov-Karim_Mohamed_Maamoun,63.6,96.4,1,True
Casper Ruud,20200121-M-Australian_Open-R128-Casper_Ruud-Egor_Gerasimov,72.0,89.4,5,False
Egor Gerasimov,20200121-M-Australian_Open-R128-Casper_Ruud-Egor_Gerasimov,71.1,93.5,3,True
Ernests Gulbis,20200121-M-Australian_Open-R128-Ernests_Gulbis-Felix_Auger_Aliassime,56.4,94.8,3,True
Felix Auger Aliassime,20200121-M-Australian_Open-R128-Ernests_Gulbis-Felix_Auger_Aliassime,61.4,87.0,7,False
Marc Polmans,20200121-M-Australian_Open-R128-Marc_Polmans-Mikhail_Kukushkin,70.8,96.0,2,True
