Player,% 1st Serve,% 1st Serve Points Won,% 2st Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,Serve Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Break Points Converted,% Return Games Won,Return Rating,% Break Points Saved,% Deciding Sets Won,% Tie Breaks Won,Under Pressure Rating,rank
Arthur Fils,61.8%,74.0%,52.1%,82.4%,5.9,2.9,273.3,28.7%,52.3%,40.4%,21.7%,143.1,62.2%,57.1%,60.9%,220.6,31
Benjamin Bonzi,64.2%,70.5%,53.3%,80.9%,5.7,2.2,272.4,25.4%,51.2%,37.9%,18.3%,132.8,64.8%,50.0%,55.6%,208.3,53
Fabian Marozsan,64.4%,70.8%,52.3%,82.2%,4.9,2.3,272.3,26.8%,49.3%,36.1%,18.6%,130.8,64.6%,60.0%,33.3%,194.0,52
Tomas Machac,60.9%,72.6%,53.4%,82.1%,6.4,3.2,272.2,27.4%,49.9%,45.5%,22.3%,145.1,59.7%,50.0%,58.3%,213.5,30
Nuno Borges,66.8%,70.8%,50.2%,80.3%,6.2,2.4,271.9,28.5%,49.3%,36.0%,19.5%,133.3,61.6%,62.5%,50.0%,210.1,46
Jordan Thompson,59.1%,72.2%,54.1%,80.3%,7.9,1.8,271.8,26.0%,45.6%,32.0%,15.1%,118.7,62.3%,58.3%,69.2%,221.8,80
Gael Monfils,59.8%,75.7%,49.6%,82.4%,9.7,5.5,271.7,29.2%,47.9%,37.6%,19.4%,134.1,62.1%,58.8%,58.3%,216.8,65
Alexei Popyrin,62.0%,73.9%,48.6%,81.2%,9.0,3.2,271.5,27.5%,46.2%,26.5%,15.1%,115.3,67.0%,52.9%,62.5%,208.9,48
Aleksandar Kovacevic,59.0%,75.5%,49.7%,82.7%,8.0,3.5,271.4,23.5%,47.3%,32.5%,15.4%,118.7,62.1%,26.7%,41.7%,163.0,69
Daniil Medvedev,60.9%,76.1%,49.0%,81.8%,8.0,4.4,271.4,32.9%,52.0%,36.6%,25.8%,147.3,58.8%,45.5%,48.0%,188.9,14
Alex de Minaur,55.4%,74.1%,56.1%,83.9%,3.9,2.5,270.9,31.5%,54.1%,44.2%,28.7%,158.5,61.4%,52.6%,57.1%,215.3,7
Tommy Paul,60.1%,72.5%,53.0%,81.7%,5.9,2.3,270.9,31.6%,53.8%,44.3%,27.9%,157.6,63.3%,64.7%,52.0%,224.3,18
Tomas Martin Etcheverry,61.9%,72.0%,50.5%,80.4%,7.0,1.6,270.2,27.3%,49.1%,36.5%,19.2%,132.1,67.2%,42.9%,39.1%,185.7,63
Frances Tiafoe,56.8%,74.3%,52.6%,80.3%,8.4,2.6,269.8,27.1%,50.9%,37.2%,20.7%,135.9,61.1%,36.8%,65.5%,200.6,29
Alejandro Tabilo,63.8%,70.6%,49.5%,81.4%,6.7,2.5,269.5,27.3%,46.0%,34.4%,15.9%,123.6,64.3%,40.0%,37.5%,176.2,73
Aleksandar Vukic,58.7%,73.3%,49.4%,80.1%,10.0,2.4,269.1,26.3%,44.5%,37.0%,15.6%,123.4,63.6%,31.6%,42.9%,175.1,84
Miomir Kecmanovic,61.2%,73.0%,50.3%,80.8%,5.1,2.4,268.0,26.2%,51.7%,37.6%,19.6%,135.1,60.2%,39.1%,37.0%,173.9,49
Alex Michelsen,65.9%,70.7%,49.2%,79.1%,5.6,2.9,267.6,28.6%,48.8%,35.2%,19.5%,132.1,59.4%,58.8%,51.4%,204.8,36
Cameron Norrie,65.9%,69.5%,50.1%,79.0%,5.1,2.5,267.1,26.9%,51.5%,39.0%,20.7%,138.1,65.6%,61.9%,58.8%,225.3,33
Luciano Darderi,60.1%,71.9%,52.5%,79.5%,5.6,2.7,266.9,28.7%,48.1%,37.0%,20.2%,134.0,59.4%,64.3%,65.2%,225.9,26
Denis Shapovalov,58.6%,73.7%,50.5%,81.7%,8.2,6.0,266.7,31.7%,49.8%,47.0%,25.3%,153.8,62.8%,54.5%,40.7%,205.0,23
Adrian Mannarino,58.0%,71.6%,53.1%,80.6%,5.4,2.1,266.6,27.3%,49.5%,38.8%,20.6%,136.2,63.8%,42.9%,33.3%,178.8,59
Jaume Munar,63.6%,71.5%,50.7%,79.8%,4.0,3.2,266.4,31.1%,51.4%,41.0%,25.5%,149.0,58.0%,45.5%,42.9%,187.4,42
Roberto Bautista Agut,67.0%,69.0%,50.9%,78.6%,2.7,2.0,266.2,26.6%,51.6%,39.7%,19.9%,137.8,60.9%,69.2%,38.1%,207.9,57
Alejandro Davidovich Fokina,65.9%,68.1%,52.2%,78.4%,3.5,2.1,266.0,31.2%,53.1%,44.0%,27.6%,155.9,64.8%,50.0%,51.5%,210.3,20
Adam Walton,61.1%,70.8%,51.0%,78.9%,6.4,2.4,265.8,25.2%,49.8%,40.3%,18.9%,134.2,59.3%,66.7%,35.0%,201.3,76
Yunchaokete Bu,57.6%,73.0%,49.8%,80.2%,6.8,1.9,265.5,25.2%,48.8%,32.4%,16.3%,122.7,64.0%,18.2%,30.8%,145.4,115
Francisco Comesana,60.7%,74.5%,46.5%,79.0%,8.2,3.7,265.2,29.1%,47.8%,36.6%,18.4%,131.9,60.9%,54.5%,39.1%,191.1,68
Marcos Giron,59.7%,71.3%,51.0%,79.3%,5.2,1.7,264.8,27.5%,49.8%,38.6%,18.9%,134.8,61.4%,35.0%,69.6%,204.6,54
Jan Lennard Struff,57.7%,75.0%,47.6%,78.5%,9.4,3.7,264.5,26.0%,50.5%,31.1%,16.0%,123.6,58.9%,44.4%,37.5%,171.9,98
Daniel Altmaier,59.8%,72.5%,47.4%,78.1%,7.8,2.3,263.3,24.8%,47.7%,38.4%,17.2%,128.1,60.9%,61.5%,40.9%,201.7,51
Zizou Bergs,58.1%,72.2%,51.4%,78.7%,6.6,4.0,263.0,29.1%,49.9%,38.1%,21.0%,138.1,60.0%,60.0%,53.6%,211.7,39
Marton Fucsovics,61.3%,72.7%,49.0%,78.1%,4.1,2.8,262.4,30.1%,54.8%,39.2%,24.4%,148.5,55.2%,54.5%,71.4%,220.3,55
Christopher O'Connell,60.0%,69.6%,49.7%,78.0%,6.3,1.7,261.9,27.4%,45.3%,34.1%,17.1%,123.9,64.9%,44.4%,31.3%,174.7,106
Matteo Arnaldi,56.0%,71.5%,51.5%,79.0%,6.4,3.3,261.1,28.6%,46.1%,34.3%,17.6%,126.6,64.2%,44.4%,63.2%,206.1,74
Francisco Cerundolo,60.9%,69.1%,51.7%,77.5%,3.8,2.9,260.1,32.4%,52.3%,42.8%,27.1%,154.6,63.3%,45.0%,63.3%,214.4,21
Corentin Moutet,62.5%,67.4%,51.5%,76.5%,3.3,2.8,258.4,32.3%,48.7%,38.2%,24.1%,143.3,62.5%,50.0%,54.5%,205.2,41
Alexandre Muller,66.6%,67.1%,48.8%,74.0%,3.7,2.5,257.7,26.7%,49.7%,38.5%,18.6%,133.5,59.5%,73.7%,53.6%,225.3,43
Botic van de Zandschulp,61.4%,72.2%,46.4%,77.3%,5.0,4.6,257.7,29.6%,49.5%,38.5%,20.1%,137.7,56.2%,53.8%,33.3%,181.8,86
Jenson Brooksby,62.0%,68.0%,51.0%,75.3%,3.1,2.3,257.1,29.9%,52.3%,40.1%,24.7%,147.0,61.2%,58.3%,69.2%,228.8,56
Learner Tien,61.4%,68.2%,50.5%,76.0%,4.1,4.2,256.0,26.7%,53.4%,41.5%,21.9%,143.5,63.0%,57.1%,60.0%,221.6,38
Mariano Navone,63.7%,66.0%,51.7%,73.3%,2.9,2.7,254.9,32.9%,50.7%,40.9%,26.5%,151.0,58.5%,23.5%,50.0%,172.9,85
Flavio Cobolli,55.2%,67.9%,53.6%,76.6%,4.3,3.4,254.2,30.9%,49.8%,37.3%,23.6%,141.6,59.6%,66.7%,65.5%,229.1,22
Alexander Shevchenko,61.6%,68.4%,47.2%,72.6%,5.0,2.8,252.0,27.3%,47.9%,35.8%,18.5%,129.5,55.9%,77.8%,38.9%,208.4,91
Damir Dzumhur,66.6%,62.0%,52.9%,71.2%,1.3,2.9,251.1,33.1%,48.3%,43.6%,24.4%,149.4,58.6%,53.3%,50.0%,205.5,67
Jacob Fearnley,60.7%,69.7%,46.9%,73.9%,5.6,5.9,250.9,29.6%,50.9%,42.8%,23.8%,147.1,58.7%,60.0%,46.2%,207.7,81
Sebastian Baez,71.3%,62.8%,47.4%,67.6%,1.8,1.9,249.0,33.7%,50.6%,43.3%,28.5%,156.1,54.6%,40.0%,85.7%,223.6,44
Camilo Ugo Carabelli,61.6%,66.7%,47.4%,72.4%,3.4,2.9,248.6,30.1%,49.0%,39.4%,20.7%,139.2,58.8%,75.0%,33.3%,206.5,50
Roberto Carballes Baena,61.3%,67.0%,46.9%,71.1%,3.5,2.7,247.1,29.3%,52.6%,38.7%,23.6%,144.2,59.6%,33.3%,36.4%,168.0,122
David Goffin,54.6%,69.5%,47.9%,69.6%,4.8,3.3,243.1,30.1%,49.3%,35.1%,22.7%,137.2,55.0%,53.8%,40.0%,183.9,105
Pedro Martinez,68.4%,62.6%,46.1%,67.1%,1.2,3.2,242.2,27.1%,52.8%,38.5%,21.1%,139.5,58.8%,41.7%,50.0%,189.0,89
Hugo Gaston,57.0%,66.6%,47.8%,69.4%,2.8,2.4,241.2,28.7%,47.9%,43.8%,22.2%,142.6,59.6%,58.3%,50.0%,211.7,97
