match,tournament,round,date,completed,log_reg_prob,rf_prob,ens_prob,log_reg_ml_p1,log_reg_ml_p2,rf_ml_p1,rf_ml_p2,ens_ml_p1,ens_ml_p2,log_reg_dec_p1,log_reg_dec_p2,rf_dec_p1,rf_dec_p2,ens_dec_p1,ens_dec_p2
22926,M25 Santa Margherita di Pula,R32,2025-04-14,True,0.7755759397899625,0.9428825490424196,0.926151888117174,-346,346,-1651,1651,-1254,1254,1.2894,4.4559,1.0606,17.5078,1.0797,13.5413
23201,M25 Figueira da Foz,F,2025-06-30,True,0.6315135948469479,0.83,0.8101513594846947,-171,171,-488,488,-427,427,1.5835,2.7138,1.2048,5.8824,1.2343,5.2674
23202,M25 Figueira da Foz,SF,2025-06-30,True,0.7932996978085345,0.98,0.9613299697808535,-384,384,-4900,4900,-2486,2486,1.2606,4.8379,1.0204,50.0,1.0402,25.8598
23203,M25 Figueira da Foz,QF,2025-06-30,True,0.8548990210358666,0.96,0.9494899021035866,-589,589,-2400,2400,-1880,1880,1.1697,6.8918,1.0417,25.0,1.0532,19.798
23204,M25 Figueira da Foz,R16,2025-06-30,True,0.7932996978085345,0.98,0.9613299697808535,-384,384,-4900,4900,-2486,2486,1.2606,4.8379,1.0204,50.0,1.0402,25.8598
27584,Florianopolis CH,R32,2025-11-17,True,0.7845658442907324,0.9216112061517028,0.9079066699656058,-364,364,-1176,1176,-986,986,1.2746,4.6418,1.0851,12.7569,1.1014,10.8585
11896,Lyon 2 CH,Q2,2024-11-11,True,0.6341434385302807,0.5155194927909905,0.5273818873649195,-173,173,-106,106,-112,112,1.5769,2.7333,1.9398,2.0641,1.8962,2.1159
14585,Tunis CH,Q2,2025-05-12,True,0.6547289169037873,0.83,0.8124728916903787,-190,190,-488,488,-433,433,1.5273,2.8963,1.2048,5.8824,1.2308,5.3326
15271,M25 Roda de Bara,R32,2025-07-07,True,0.8119303398084637,0.3647106017191977,0.40943257552812434,-432,432,174,-174,144,-144,1.2316,5.3172,2.7419,1.5741,2.4424,1.6933
15301,M15 Oberhaching,F,2025-02-10,True,0.8119303398084637,0.973725356900068,0.9575458551909075,-432,432,-3706,3706,-2255,2255,1.2316,5.3172,1.027,38.0595,1.0443,23.5548
15302,M15 Oberhaching,QF,2025-02-10,True,0.8119303398084637,0.973725356900068,0.9575458551909075,-432,432,-3706,3706,-2255,2255,1.2316,5.3172,1.027,38.0595,1.0443,23.5548
15303,M15 Oberhaching,R16,2025-02-10,True,0.8119303398084637,0.973725356900068,0.9575458551909075,-432,432,-3706,3706,-2255,2255,1.2316,5.3172,1.027,38.0595,1.0443,23.5548
15304,M15 Oberhaching,R32,2025-02-10,True,0.8119303398084637,0.973725356900068,0.9575458551909075,-432,432,-3706,3706,-2255,2255,1.2316,5.3172,1.027,38.0595,1.0443,23.5548
19891,M25 Lajeado,R16,2025-10-27,True,0.8042324647578007,0.9104295256524074,0.8998098195629467,-411,411,-1016,1016,-898,898,1.2434,5.1081,1.0984,11.1644,1.1113,9.981
20487,Liberec CH,Q2,2025-07-28,True,0.7932996978085345,0.9614297990712412,0.9446167889449706,-384,384,-2493,2493,-1706,1706,1.2606,4.8379,1.0401,25.9268,1.0586,18.056
20488,Liberec CH,Q1,2025-07-28,True,0.7932996978085345,0.9614297990712412,0.9446167889449706,-384,384,-2493,2493,-1706,1706,1.2606,4.8379,1.0401,25.9268,1.0586,18.056
21125,M25 Monastir,R16,2025-06-02,True,0.7397016191807337,0.871821001329198,0.8586090631143516,-284,284,-680,680,-607,607,1.3519,3.8417,1.147,7.8016,1.1647,7.0726
21126,Chisinau CH,R32,2025-05-26,True,0.6119626496718666,0.51,0.5201962649671867,-158,158,-104,104,-108,108,1.6341,2.5771,1.9608,2.0408,1.9224,2.0842
22206,Oeiras 1 CH,Q2,2025-01-06,True,0.7622379364954928,0.23106387988991767,0.28418128555047517,-321,321,333,-333,252,-252,1.3119,4.2059,4.3278,1.3005,3.5189,1.397
22207,Oeiras 1 CH,Q1,2025-01-06,True,0.7622379364954928,0.23106387988991767,0.28418128555047517,-321,321,333,-333,252,-252,1.3119,4.2059,4.3278,1.3005,3.5189,1.397
22210,Yokkaichi CH,R32,2024-11-25,True,0.7257030909469935,0.68,0.6845703090946994,-265,265,-213,213,-217,217,1.378,3.6457,1.4706,3.125,1.4608,3.1703
22298,Winston Salem CH,QF,2025-09-08,True,0.6396199740529327,0.59,0.5949619974052933,-177,177,-144,144,-147,147,1.5634,2.7748,1.6949,2.439,1.6808,2.4689
22299,Winston Salem CH,R16,2025-09-08,True,0.62764361055593,0.87,0.845764361055593,-169,169,-669,669,-548,548,1.5933,2.6856,1.1494,7.6923,1.1824,6.4836
22305,Hersonissos 4 CH,R32,2025-08-18,True,0.75902149607317,0.9179723102614302,0.9020772288426042,-315,315,-1119,1119,-921,921,1.3175,4.1497,1.0894,12.191,1.1086,10.2121
22469,Lima 2 CH,Q2,2025-11-03,True,0.7755759397899625,0.95,0.9325575939789963,-346,346,-1900,1900,-1383,1383,1.2894,4.4559,1.0526,20.0,1.0723,14.8275
22470,Lima 2 CH,Q1,2025-11-03,True,0.7755759397899625,0.95,0.9325575939789963,-346,346,-1900,1900,-1383,1383,1.2894,4.4559,1.0526,20.0,1.0723,14.8275
22893,Genoa CH,Q2,2025-09-01,True,0.7787923802122853,0.9253314865018453,0.9106775758728893,-352,352,-1239,1239,-1020,1020,1.284,4.5206,1.0807,13.3925,1.0981,11.1954
22894,Genoa CH,Q1,2025-09-01,True,0.7787923802122853,0.9253314865018453,0.9106775758728893,-352,352,-1239,1239,-1020,1020,1.284,4.5206,1.0807,13.3925,1.0981,11.1954
23409,M25 Sharm ElSheikh,F,2025-04-21,True,0.823943159158952,1.0,0.9823943159158952,-468,468,-99999900,99999900,-5580,5580,1.2137,5.68,1.0,1000000.0,1.0179,56.7998
23410,M25 Sharm ElSheikh,SF,2025-04-21,True,0.8675956687584595,1.0,0.986759566875846,-655,655,-99999900,99999900,-7453,7453,1.1526,7.5526,1.0,1000000.0,1.0134,75.5262
23411,M25 Sharm ElSheikh,QF,2025-04-21,True,0.6013122444053254,0.57,0.5731312244405325,-151,151,-133,133,-134,134,1.663,2.5082,1.7544,2.3256,1.7448,2.3426
23412,M25 Sharm ElSheikh,R16,2025-04-21,True,0.8675956687584595,1.0,0.986759566875846,-655,655,-99999900,99999900,-7453,7453,1.1526,7.5526,1.0,1000000.0,1.0134,75.5262
10091,Tyler CH,F,2025-06-02,True,0.637304831128293,0.7994212034383955,0.7832095662073852,-176,176,-399,399,-361,361,1.5691,2.7571,1.2509,4.9856,1.2768,4.6127
10095,Tyler CH,R32,2025-06-02,True,0.7346426927230116,0.6668131863644402,0.6735961370002974,-277,277,-200,200,-206,206,1.3612,3.7685,1.4997,3.0013,1.4846,3.0637
10465,Cleveland CH,SF,2025-01-27,True,0.6341434385302807,0.5155194927909905,0.5273818873649195,-173,173,-106,106,-112,112,1.5769,2.7333,1.9398,2.0641,1.8962,2.1159
10467,Cleveland CH,R16,2025-01-27,True,0.5024477058172904,0.7504181903362418,0.7256211418843467,-101,101,-301,301,-264,264,1.9903,2.0098,1.3326,4.0067,1.3781,3.6446
